,count,unique,top,freq,mean,std,min,25%,50%,75%,max
id_evento,63482.0,,,,1245947531.5052772,35495.42273610678,1245887543.0,1245915656.25,1245949090.5,1245977845.75,1246007308.0
fecha_evento,63482,6,2025-05-25,62028,,,,,,,
año_evento,63482.0,,,,2024.9908162943827,0.12153393220883352,2015.0,2025.0,2025.0,2025.0,2025.0
region,63482,1987,UNITED STATES,5887,,,,,,,
subregion,63482,195,Desconocido,22073,,,,,,,
latitud,63482.0,,,,-2.0264674221457457,4.239708028625697,-28.5714285714286,-4.91803278688524,-1.97287299630086,0.91185410334347,20.8053691275168
longitud,63482.0,,,,2.934123058504773,1.3036036720719706,1.0,1.0,4.0,4.0,5.0
ubicacion,63482,4348,"Gaza, Israel (general), Israel",2097,,,,,,,
pais_codigo,63482,213,US,16638,,,,,,,
region_codigo,63482,1303,IS00,2464,,,,,,,
lat,63482.0,,,,30.691200963722,19.751251960415928,-85.6221,24.0,34.0983,42.1497,78.0
lon,63482.0,,,,5.983894977710217,76.6141266402164,-179.983,-77.0364,18.4167,70.0,180.0
ubicacion2,63482,4325,"Gaza, Israel (general), Israel",2190,,,,,,,
pais_codigo2,63482,215,US,16585,,,,,,,
region_codigo2,63482,1304,IS00,2551,,,,,,,
fecha_evento2,63482.0,,,,20250525.0,0.0,20250525.0,20250525.0,20250525.0,20250525.0,20250525.0
fuente_url,63482,12174,https://www.livemint.com/news/india/what-about-modi-govts-operation-dost-cpi-m-mp-john-brittas-counters-shashi-tharoor-over-kerala-aid-to-turkey-jibe-11748169617315.html,111,,,,,,,
fuente_url_domain,63482,2525,www.yahoo.com,3016,,,,,,,
